Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 11:28:32,35-44,Publishing,Computing or Tech,Lead Product Manager,,90000,9000,USD,,,United States,Minnesota,Minneapolis ,Other/it's complicated,11-20 years,1 year or less,Master's degree,Non-binary,White
4/11/2023 11:28:33,25-34,Nonprofits,Property or Construction,Assistant Director of Individual Giving,,80000,0,USD,,,Australia,Illinois,Chicago,On-site,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:28:34,25-34,Government & Public Administration,Administration,Advisor/Aide,Second in command to Team Lead,60300,0,EUR,,,Germany,,Berlin,Hybrid,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
4/11/2023 11:28:33,25-34,Health care,Government & Public Administration,Risk Manager,Not financial risk,49700,0,GBP,,,United Kingdom,,London,Hybrid,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:28:33,35-44,Nonprofits,Computing or Tech,Salesforce Manager,,135000,,USD,,,United States,Oregon,Portland,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:28:38,65 or over,Health care,Health care,Nurse practitioner ,,135000,8000,USD,,,United States,California,San Fransisco ,On-site,41 years or more,41 years or more,,Woman,White
4/11/2023 11:28:39,35-44,Insurance,Insurance,AVP & Actuary,,190000,75000,USD,,,United States,Massachusetts,Springfield,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:28:42,35-44,Media & Digital,Media & Digital,Editor,Copy editor of books,104000,0,USD,,,United States,California,Oakland,Fully remote,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:28:43,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Special Education Teacher,,59011,,USD,,,United States,Texas,Austin,On-site,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:28:45,35-44,Health care,Health care,Rehabilitation Director ,,110000,3500,USD,,,United States,Indiana,Evansville,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:28:46,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Editor,,84441,,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:28:46,35-44,Private Equity,Administration,Executive Assistant ,,115000,15000,USD,,,United States,New York,New York,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:28:46,25-34,Engineering or Manufacturing,Administration,Applications Coordinator,,69992,20124,CAD,,,Canada,,Vancouver,On-site,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:28:50,25-34,Government & Public Administration,Government & Public Administration,Accessibility and Inclusion Coordinator,Enforcing disability legislation in the County,70000,,CAD,,,Canada,,"Paris, Ontario, Canada",Fully remote,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:28:50,25-34,Government & Public Administration,Government & Public Administration,Senior Privacy Advisor,I work with federal departments to help and encourage them to meet their legal privacy obligations.,85000,,CAD,,,Canada,,Ottawa,Hybrid,5-7 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:28:50,25-34,Agriculture or Forestry,Human Resources,HR MAnager,,90000,,CAD,,,Canada,,Mission,On-site,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:28:50,55-64,Media & Digital,Administration,Associate Editor,,51000,0,USD,,,United States,Connecticut,Remote,Fully remote,31-40 years,5-7 years,College degree,Woman,White
4/11/2023 11:28:53,35-44,Transport or Logistics,Business or Consulting,Transport Planner ,Town planner with transport specialism,30000,0,GBP,,,United Kingdom,,Cardiff ,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:28:54,25-34,Crypto/Fintech/Payments,"Marketing, Advertising & PR",Executive Communications Associate,,117000,15000,USD,,,United States,New York,NYC,Hybrid,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:28:55,18-24,Education (Higher Education),Hospitality & Events,Conference Services Assistant,,29000,,USD,,,United States,Ohio,South Bend,On-site,1 year or less,1 year or less,College degree,Woman,White
4/11/2023 11:28:55,35-44,Nonprofits,"Galleries, Libraries, Archives & Museums",Director of Education,,55000,,USD,,,United States,Rhode Island,Providence,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:28:57,35-44,Computing or Tech,Computing or Tech,Data analyst ,Data conversion ,65000,,USD,,,United States,Wisconsin,Racine,Hybrid,21-30 years,2-4 years,Some college,Woman,White
4/11/2023 11:28:58,35-44,"Accounting, Banking & Finance",Engineering or Manufacturing,"Vice President, Fleet Operations",,175000,100000,USD,,,United States,Illinois,Chicago ,Hybrid,11-20 years,8-10 years,College degree,Man,White
4/11/2023 11:28:58,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Physics Teacher,,60000,1296,USD,,"""bonus"" money comes from academic team coaching",United States,Indiana,Whiteland,On-site,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:28:59,35-44,Biotechnology & Pharma,"Marketing, Advertising & PR",Marketing Manager,,78000,,USD,,,United States,Missouri,Springfield,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/11/2023 11:29:00,35-44,Health care,Science,Diagnostic Medical Physicist,,166000,2000,USD,,,United States,Maryland,"Company based in Baltimore, I work remotely",Fully remote,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:03,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Library Assistant II,,38000,1096,USD,,,United States,Texas,Denton,On-site,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:29:04,25-34,Government & Public Administration,Government & Public Administration,Licensing Coordinator ,,55000,,USD,,,United States,Massachusetts,Boston,Hybrid,2-4 years,1 year or less,College degree,"Man, Non-binary",White
4/11/2023 11:29:06,35-44,Government & Public Administration,Government & Public Administration,Program analyst,,145000,,USD,,,United States,Virginia,"Arlington, va",,11-20 years,11-20 years,Master's degree,Woman,"Native American or Alaska Native, White"
4/11/2023 11:29:07,25-34,Nonprofits,Administration,Operations Manager,"My org has two operations managers: my colleague who focuses on HR with some finance and some events, and me, with my focus being on IT, some finance, some compliance, events, and some database admin.",72917,,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,8-10 years,8-10 years,College degree,Non-binary,White
4/11/2023 11:29:08,35-44,Nonprofits,Education (Higher Education),Program Coordinator,I run exchange programs for foreign youth,58000,0,USD,,,"United States, I physically work in the U.S. but my programs are focused on foreign youth abroad.",District of Columbia,D.C.,Hybrid,11-20 years,5-7 years,College degree,Man,White
4/11/2023 11:29:09,25-34,Media & Digital,Media & Digital,Senior Editor,,78200,1000,USD,,bonuses were a little lower than usual this year due to the economic downturn,United States,New York,New York,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:29:09,25-34,Social Work,Social Work,Social Worker,,65000,,USD,,,United States,California,Los Angeles,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:10,25-34,Engineering or Manufacturing,Engineering or Manufacturing,Transmission Line Engineer,,90000,,USD,,,United States,Oklahoma,Tulsa,Hybrid,8-10 years,2-4 years,College degree,Man,White
4/11/2023 11:29:10,25-34,Education (Higher Education),Science,Research manager ,,106090,0,USD,,,United States,California,Palo Alto ,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:11,45-54,Computing or Tech,Cybersecurity,Technical Writer,,100000,30000,USD,,,United States,Texas,San Antonio,Fully remote,21-30 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:29:12,18-24,Science,Science,Assistant Staff,"We have extremely flat titles, I'm most accurately a Junior Systems Analyst",96000,0,USD,,,United States,Massachusetts,Boston,On-site,1 year or less,1 year or less,College degree,Woman,White
4/11/2023 11:29:13,45-54,Utilities & Telecommunications,Utilities & Telecommunications,Firmware Engineer,,120000,12000,USD,,,United States,North Carolina,Durham,Hybrid,31-40 years,31-40 years,College degree,Woman,White
4/11/2023 11:29:14,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,53000,0,USD,,,United States,Kansas,Olathe,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:14,45-54,Education (Higher Education),Administration,Assistant Director,Higher ed unit administration,85000,0,USD,,,United States,Michigan,Ann Arbor,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:15,25-34,Computing or Tech,"Marketing, Advertising & PR",Director of Marketing ,,175000,7500,USD,,,United States,Texas,Houston,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:15,45-54,Education (Primary/Secondary),Education (Primary/Secondary),Instructional coach,,124500,12000,USD,,,United States,Washington,Bellevue,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:17,45-54,Education (Higher Education),Administration,Administrative Support Specialist,,50840,1144,USD,,Bonus amount is for longevity pay (>15 but <20 years),United States,North Carolina,"Raleigh, NC",Hybrid,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:19,25-34,Biotechnology & Pharma,Biotechnology & Pharma,Senior scientist ,,132000,11000,USD,,,United States,California,Irvine,On-site,8-10 years,8-10 years,PhD,Woman,White
4/11/2023 11:29:20,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Special education teacher,,97000,,USD,,,United States,Washington,Seattle,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:20,35-44,Education (Higher Education),Computing or Tech,Chief Information Security Officer,,290000,0,USD,,,United States,Pennsylvania,Philadelphia ,Hybrid,11-20 years,11-20 years,College degree,Man,White
4/11/2023 11:29:20,45-54,Government & Public Administration,Government & Public Administration,Director of Communication and Public Information Officer,,145000,0,USD,,,United States,Virginia,Fairfax,Hybrid,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:24,45-54,Engineering or Manufacturing,Science,Laboratory Technician,,31500,238,GBP,,,United Kingdom,,Leeds,On-site,31-40 years,21-30 years,Some college,Woman,White
4/11/2023 11:29:25,45-54,Computing or Tech,"Marketing, Advertising & PR",Principal Meeting and Events Project Manager ,,114000,8000,USD,,,United States,North Carolina,Durham,Fully remote,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:29:27,25-34,Insurance,Administration,Executive Administrative Assistant,,72000,,USD,,,United States,Minnesota,Saint Paul,Hybrid,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:29:27,35-44,Insurance,Insurance,Operations supervisor claims operations,,54000,0,USD,,,United States,Florida,Melbourne ,Fully remote,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:28,35-44,Education (Higher Education),Education (Higher Education),Director,,62000,6000,USD,,,United States,Nebraska,Bellevue,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:29,55-64,Utilities & Telecommunications,Recruitment or HR,Human Resources Consultant ,,120000,,USD,,,United States,Kansas,Wichita,Fully remote,31-40 years,31-40 years,College degree,Woman,White
4/11/2023 11:29:22,35-44,Transport or Logistics,Computing or Tech,Reporting Analyst,,62000,0,USD,,,United States,Missouri,St. Louis,Fully remote,11-20 years,1 year or less,College degree,Woman,White
4/11/2023 11:29:23,45-54,Government & Public Administration,Government & Public Administration,Deputy Office Director,,188000,,USD,,"I'm a Foreign Service Officer.  Our pay and rank is in person, not in job.  I'm an FS-01, which is the equivalent of an Army colonel.  I don't know if my information is that helpful to you, but I'm passionate about this subject and wanted to help if I can.",United States,District of Columbia,Washington DC,Hybrid,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:23,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Risk manager,,50000,10000,GBP,,,United Kingdom,,Edinburgh ,Hybrid,5-7 years,11-20 years,College degree,Woman,White
4/11/2023 11:29:34,45-54,Education (Higher Education),Hospitality & Events,"Assistant Director, Event Strategy",I come up with programs (speaker and content) for events ,62500,,USD,,,United States,Michigan,Ann Arbor,Hybrid,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:29:35,35-44,Computing or Tech,Business or Consulting,Managed Services Sales Coordiantor,Prepare pricing and contracts for managed services,80000,0,USD,,,United States,Michigan,Work from home,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:29:30,45-54,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Librarian,,95000,,CAD,,,Canada,,Edmonton,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:30,35-44,Government & Public Administration,Administration,Business Technology Liaison,,59500,0,USD,,,United States,Colorado,Denver,Hybrid,11-20 years,2-4 years,Master's degree,Non-binary,White
4/11/2023 11:29:30,45-54,"Galleries, Libraries, Archives & Museums",Administration,Library Director,Public Library,64000,500,USD,,,United States,Michigan,Harper Woods,On-site,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:29:31,45-54,Education (Higher Education),Academic advising ,Academic Adviser IV/ Lead Adviser,,62000,0,USD,,,United States,Pennsylvania,Altoona,Hybrid,31-40 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:32,35-44,Education (Higher Education),Education (Higher Education),Associate Professor,Humanities,65000,,USD,,,United States,Mississippi,Starkville,On-site,11-20 years,11-20 years,PhD,Man,White
4/11/2023 11:29:36,18-24,Media & Digital,Agriculture or Forestry,Graphic Designer,,29120,0,USD,,,United States,Ohio,Bryan,On-site,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:29:36,25-34,Nonprofits,Nonprofits,virtual connections specialist,,71000,0,USD,,,United States,Iowa,Cedar Rapids,Fully remote,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:36,25-34,Business or Consulting,Administration,Executive Assistant,,65000,500,USD,,,United States,Washington,Seattle,On-site,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:37,25-34,Computing or Tech,Media & Digital,Digital Product Manager,,160000,,USD,,,United States,Florida,Orlando,Fully remote,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:29:37,25-34,Media & Digital,"Marketing, Advertising & PR","Campaign Operations Analyst, Digital Media",,120000,300,USD,,,United States,California,San Jose ,Hybrid,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:38,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Copywriter,,105000,,USD,,,United States,Texas,Austin,Fully remote,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:39,55-64,Computing or Tech,Recruitment or HR,HR Recruiter,Actual work is also Generalist ,62409,400,USD,,,United States,Michigan,Sterling  Heights ,Hybrid,31-40 years,21-30 years,,Woman,White
4/11/2023 11:29:39,25-34,Business or Consulting,Engineering or Manufacturing,CAD Modeler,,96000,0,USD,,,United States,"Florida, Virginia",Dahlgren,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:40,25-34,Health care,"Marketing, Advertising & PR",Marketing Specialist,,61000,1000,USD,,,United States,Massachusetts,Waltham,Fully remote,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:41,45-54,education technology and solutions,Education (Primary/Secondary),"Manager of content design, grade k-5",,92000,,USD,,,United States,New York,Hastings on Hudson,Fully remote,21-30 years,21-30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
4/11/2023 11:29:41,45-54,Manufacturing,Manufacturing,Safety & HR Manager,,98500,5000,USD,,,United States,South Dakota,Sioux Falls,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:41,35-44,Computing or Tech,Computing or Tech,Integration Analyst III,Data Quality Analyst,61800,4354,USD,,,United States,Pennsylvania,Pittsburgh,Hybrid,11-20 years,5-7 years,Master's degree,Man,White
4/11/2023 11:29:42,35-44,Engineering or Manufacturing,Administration,Customer Service Representative,,51400,3000,USD,,,United States,Illinois,Chicago ,Fully remote,11-20 years,8-10 years,Some college,Woman,White
4/11/2023 11:29:43,35-44,Government & Public Administration,"Marketing, Advertising & PR",Deputy communications director,,129900,,USD,,,United States,Washington,Olympia,Fully remote,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:29:43,35-44,Education (Higher Education),Education (Higher Education),Director of Labor Educator,,81000,,USD,,,United States,Massachusetts,"Lowell, MA",On-site,11-20 years,8-10 years,PhD,Woman,White
4/11/2023 11:29:43,55-64,Business or Consulting,"Marketing, Advertising & PR",Senior Vice President,,194000,60000,USD,,,United States,Massachusetts,Boston,Fully remote,31-40 years,8-10 years,College degree,Woman,White
4/11/2023 11:29:44,55-64,Health care,Business or Consulting,Strategy consultant and leadership coach,Focused in academic medicine,175000,25000,CAD,,,Canada,,Toronto,Other/it's complicated,31-40 years,21-30 years,PhD,Non-binary,White
4/11/2023 11:29:45,25-34,Law,Immigration ,Sr. Paralegal,,86100,10000,USD,,,United States,Washington,Seattle,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:29:45,55-64,Industrial/Energy/Automotive/Health,Administration,Office/Operations Manager,,85000,75000,USD,,Performance/Sales Bonuses Quarterly,United States,Michigan,Detroit Metropolitan Area,On-site,31-40 years,5-7 years,College degree,Woman,White
4/11/2023 11:29:46,35-44,Government & Public Administration,"Accounting, Banking & Finance",Budget Analyst,,66000,1100,USD,,,United States,New Jersey,Morristown ,Hybrid,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:46,25-34,Underground Construction,Recruitment or HR,HR Assistant,,36400,0,USD,,,United States,Wisconsin,Fond du Lac,On-site,5-7 years,1 year or less,College degree,Woman,White
4/11/2023 11:29:46,25-34,Education (Higher Education),Education (Higher Education),Academic Advisor ,,43600,,USD,,,United States,South Carolina,Columbia,Hybrid,2-4 years,2-4 years,Master's degree,Non-binary,White
4/11/2023 11:29:47,25-34,Government & Public Administration,Government & Public Administration,Systems Engineering and Technical Assistance ,Contractor at DARPA,116000,5000,USD,,,United States,Virginia,Arlington,Hybrid,11-20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
4/11/2023 11:29:48,65 or over,Computing or Tech,Computing or Tech,Product Manager,,79000,18000,USD,,,United States,Illinois,Chicago,Fully remote,41 years or more,31-40 years,Some college,Woman,White
4/11/2023 11:29:48,25-34,Education (Higher Education),Science,Research Technician,,30502,0,GBP,,,United Kingdom,,Exeter,On-site,8-10 years,8-10 years,College degree,Man,White
4/11/2023 11:29:49,45-54,Education (Primary/Secondary),Education (Primary/Secondary),teacher,,95000,,USD,,,United States,California,San Jose,On-site,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:29:50,35-44,Computing or Tech,"Accounting, Banking & Finance",Country Lead,Oversee revenue teams in North America,225000,120000,USD,,,United States,"Florida, New York",New York,Hybrid,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:29:50,35-44,Education (Higher Education),Education (Higher Education),Assistant Professor,,60000,0,USD,,,United States,Illinois,Chicago,On-site,11-20 years,11-20 years,PhD,Man,White
4/11/2023 11:29:50,35-44,"Accounting, Banking & Finance",Computing or Tech,Process Engineer,Halfway between a developer and a project manager,100500,10755,CAD,,,Canada,,Stratford,Fully remote,21-30 years,21-30 years,College degree,Man,White
4/11/2023 11:30:00,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Interlibrary Loan Coordinator ,"library staff, not MLS ",52000,11000,USD,,additional compensation is a freelance writing gig ,United States,New York,New York City ,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:29:52,35-44,Consulting on political campaigns,"Accounting, Banking & Finance",Partner,,90000,85000,USD,,the additional is a mix of new client bonuses and partner distributions,United States,Rhode Island,Providence,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:29:52,35-44,Engineering or Manufacturing,Operations ,Commercial operations specialist ,,96000,0,USD,,,United States,Wisconsin,Milwaukee,Hybrid,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 11:29:55,18-24,Health care,Health care,Inpatient Phlebotomist,I draw blood from hospitalized patients. ,32240,3224,USD,,,United States,Nebraska,Omaha,On-site,1 year or less,1 year or less,Some college,Woman,White
4/11/2023 11:30:00,25-34,Government Contracting,Education (Higher Education),Engagement Coordinator,,80000,0,USD,,,United States,Florida,Tampa,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:56,45-54,Agriculture or Forestry,Administration,chief operations officer,,125000,0,USD,,family owned ranch,United States,Nevada,Reno,Other/it's complicated,21-30 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:29:56,45-54,Biotechnology & Pharma,Business or Consulting,Sr. Mgr,,320000,40000,USD,,,United States,Florida,Miami,Fully remote,31-40 years,21-30 years,,Woman,White
4/11/2023 11:29:57,35-44,Government & Public Administration,Computing or Tech,Costing Analyst,Project and service costing analyst for information mgmt and technologies,69076,0,CAD,,,Canada,,"Edmonton, Alberta",Fully remote,21-30 years,5-7 years,Some college,Woman,White
4/11/2023 11:29:57,35-44,"Marketing, Advertising & PR","Marketing, Advertising & PR",SEO Supervisor,,91000,20000,USD,,,United States,Illinois,Chicago,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:29:57,35-44,Engineering or Manufacturing,"Accounting, Banking & Finance",Project Analyst,,74999,0,USD,,,United States,Michigan,East Lansing,Hybrid,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:29:58,55-64,Health care,Fundraising,Grants Coordintor,,78206,0,USD,,,United States,California,"Visalia, CA",Hybrid,21-30 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:29:59,45-54,Government & Public Administration,"Accounting, Banking & Finance",Accountant,,90000,10000,USD,,,United States,Oregon,Portland,Hybrid,21-30 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:29:59,35-44,Education (Higher Education),Art & Design,Design Studio Technician,Support Staff for Graphic Design degree program,60000,0,CAD,,,Canada,,Edmonton,Hybrid,11-20 years,8-10 years,College degree,Man,White
4/11/2023 11:30:00,45-54,Health care,Law,General Counsel,,210000,0,USD,,,United States,Florida,Miami,On-site,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White
4/11/2023 11:30:02,35-44,Utilities & Telecommunications,Insurance,Senior Director,,147000,80000,USD,,,United States,Minnesota,Minneapolis,Hybrid,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:30:02,55-64,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Assistant,"Work in the computer lab: creative arts, technology & workforce development",26800,0,USD,,,United States,Virginia,Bristol,On-site,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:30:03,35-44,"Accounting, Banking & Finance",Computing or Tech,System Reliability and Support Specialist,Essentially a Business Systems Analyst,71500,0,USD,,,United States,Michigan,Kalamazoo,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:30:03,35-44,Computing or Tech,Computing or Tech,Customer Success Manager,,72800,0,USD,,"I work part time at $35 an hour, usually about 29 hours a week.",United States,Florida,Orlando,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:30:05,35-44,Biotechnology & Pharma,Quality,Quality Engineer,,80000,6000,USD,,,United States,Illinois,Chicago,Hybrid,11-20 years,5-7 years,College degree,Man,White
4/11/2023 11:30:03,25-34,Computing or Tech,"Marketing, Advertising & PR",Visual Designer,,76500,,USD,,,United States,Georgia,Ringgold,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:30:03,25-34,Health care,Science,Senior Research Coordinator,"I am a researcher in a healthcare setting, so my desk is in a hospital but I do not care for patients.",70000,,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,2-4 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:30:08,35-44,Computing or Tech,Computing or Tech,Customer Support Engineer,SaaS tech support,52000,3000,USD,,,United States,Pennsylvania,Philadelphia (suburbs),Fully remote,21-30 years,2-4 years,Some college,Non-binary,White
4/11/2023 11:30:09,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Associate Account Director,,83000,500,USD,,,United States,District of Columbia,Washington,Hybrid,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 11:30:09,35-44,Education (Higher Education),Education (Higher Education),Program Manager,,60172,0,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,11-20 years,8-10 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
4/11/2023 11:30:10,35-44,Transport or Logistics,Maintenance and Repair ,General Manager- Maintenance and Repair ,,97250,9500,USD,,,United States,Washington,Seattle ,On-site,11-20 years,11-20 years,Some college,Man,White
4/11/2023 11:30:10,25-34,Education (Higher Education),"Accounting, Banking & Finance",Contingent Payroll Processor,,39232,5000,USD,,,United States,Maryland,Towson,Hybrid,5-7 years,1 year or less,College degree,Woman,White
4/11/2023 11:30:12,25-34,Business or Consulting,research,Research analyst,,65000,500,USD,,,United States,Massachusetts,"Cambridge, MA",Hybrid,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:30:13,35-44,Engineering or Manufacturing,Engineering or Manufacturing,"Senior Specialist, Engineering ",,115000,18000,USD,,,United States,Pennsylvania,Lansdale ,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:30:14,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Teen Librarian II,,72000,,USD,,,United States,Illinois,Chicago,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:30:15,25-34,Computing or Tech,Sales,Customer Success Manager ,,130000,18000,USD,,,United States,Virginia,Great Falls,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:30:16,35-44,Education (Higher Education),Administration,Unit Business Manager,,58000,,USD,,,United States,Kentucky,Louisville ,On-site,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:30:17,35-44,Law,Law,Paralegal,,50500,,USD,,"I receive bonuses of 2% of the attorney's fees on all cases for which I am the sole paralegal. Last year, this was $22,322.08. ",United States,Colorado,Denver,Hybrid,21-30 years,11-20 years,Some college,Woman,White
4/11/2023 11:30:19,45-54,Nonprofits,"Accounting, Banking & Finance",Accounting Manager ,,78900,,USD,,,United States,North Carolina,Asheville ,Fully remote,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:30:21,35-44,"Galleries, Libraries, Archives & Museums",Administration,Director,,76310,0,USD,,,United States,Illinois,Effingham,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:30:23,25-34,"Accounting, Banking & Finance",Documentation,Technical writer,,82000,8000,USD,,,United States,Virginia,Manassas,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:30:23,35-44,Government & Public Administration,Law Enforcement & Security,Compliance Officer ,Enforcement of environmental health regulations and laws ,27000,,GBP,,,United Kingdom,,Wolverhampton ,Hybrid,11-20 years,11-20 years,Some college,Woman,White
4/11/2023 11:30:24,35-44,Publishing ,Publishing ,Editor ,,60000,0,USD,,,United States,Florida,Miami ,Fully remote,5-7 years,2-4 years,PhD,Woman,White
4/11/2023 11:30:25,25-34,Government & Public Administration,Health care,Data Analyst,I am an infectious disease epidemiologist ,67000,250,USD,,,United States,New York,New York City,On-site,5-7 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:30:25,25-34,Engineering or Manufacturing,Administration,Document Controller,"Basically, paperwork wrangling and professional nitpicking. ",141440,6500,USD,,,United States,Utah,Logan,On-site,11-20 years,2-4 years,Some college,"Woman, Non-binary",White
4/11/2023 11:30:27,25-34,Nonprofits,Government Affairs & Lobbying,Senior Campaigns Officer,,34500,,GBP,,,United Kingdom,,London,Hybrid,2-4 years,2-4 years,College degree,Woman,White
